"","ec5_uuid","created_at","Test","Hexagon","Plot","Species","Other_spp","Live_status","DBH","X28_Age_Taken","Code","Height.x","Cruise_tree_class","Crown_class","Conk","Blind_conk","Fork_crook","Scar","Frost_damage","Mistletoe","Rotten_bark","Dead_broken_top","Insect_damage","Fire_damage","Down_tree","Comments","Species1.x","Plot.id","Date","Species1.y","Distance","Bearing","Height.y","Age.ca","Technique","Additional.Comments"
"574","1c7a9e50-2c91-48d9-80a3-7561fd8b4d12","2021-05-27T20:51:38.128Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",10.2,NA,NA,NA,"9: Younger immature - Dead potential","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,"2: Middle 1/3 only",NA,NA,NA,"At the cusp of potential and useless","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"575","f1b9ca5e-d072-414f-bb75-722d1d080253","2021-05-27T20:50:51.124Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",11.8,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,"3: Top 1/3 only",NA,NA,NA,"Shitty tree no merch.","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"576","ec02a70a-be83-4c41-a621-fb84e9d72caa","2021-05-27T20:48:25.019Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",16.3,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,"1: Bottom 1/3 only","1: Bottom 1/3 only",NA,NA,NA,"3: Top 1/3 only",NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"577","7571a62e-ce33-4549-b662-24e5cf7cdd2a","2021-05-27T20:48:09.550Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",14.7,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"578","2aa6e4d7-04dc-4f87-ad55-817637432d0e","2021-05-27T20:47:18.973Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",13.1,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,"1: Bottom 1/3 only","1: Bottom 1/3 only",NA,NA,NA,"3: Top 1/3 only",NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"579","52b2aac9-c260-4611-b18a-5e5174a503a2","2021-05-27T20:45:25.325Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",10.4,NA,NA,NA,"9: Younger immature - Dead potential","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,"3: Top 1/3 only",NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"580","5b8448df-b76f-4274-8471-25f5d978fec1","2021-05-27T20:44:37.327Z","No, 11.28m Plot - Core Tree collection","3","1","Ep: paper birch",NA,"Standing (Live)",23.3,NA,NA,NA,"5: Mature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ep","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"581","71daf580-574d-4079-85c4-893704ac941a","2021-05-27T20:44:36.410Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",26.7,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thick branching in lower crown","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"582","6478a17b-1a61-4dee-8819-fabd451935a5","2021-05-27T20:43:40.950Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",26.6,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,"1: Bottom 1/3 only","1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,"Chlorosis in needles, thinning top and pitching along bole.","Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"583","109f526f-3773-49c4-9c15-5fadeb70a938","2021-05-27T20:43:03.621Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",10.2,NA,NA,NA,"7: Mature - Dead potential","2 (25-50% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"584","d4b893a0-8bec-4c99-ac83-9597cad9297a","2021-05-27T20:41:52.257Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",33.1,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,"2: Middle 1/3 only",NA,NA,NA,NA,NA,NA,NA,"Chlorosis in needles with crown thinning and pitching along bole.","Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"585","642332ca-94f7-47e1-aa68-d545b5ce4250","2021-05-27T20:41:18.023Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",17.2,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"586","bb2daf62-7aa5-48ff-9fe0-267048881513","2021-05-27T20:40:24.471Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",18.9,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"587","3019c758-fcc3-4fc6-9af3-4ce111eeb774","2021-05-27T20:39:21.681Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",15.5,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,NA,"2: Middle 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"588","d7554945-eb05-498e-89c0-8ba540213bb8","2021-05-27T20:39:20.249Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",21.5,NA,NA,NA,"9: Younger immature - Dead potential","1 (0-25% healthy)",NA,NA,"3: Top 1/3 only","1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"589","ba3e5864-9577-4825-a3a8-283dea55452c","2021-05-27T20:37:08.421Z","No, 11.28m Plot - Core Tree collection","3","1","Fd: douglas-fir",NA,"Snag (Dead) (45-90%) ",51.6,NA,NA,NA,"4: Dead useless","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fd","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
